date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-12-09,60.0671,60.7194,59.0343,59.7138,8578009,8578009,-0.570775,-0.947,59.8839,"Dec 9, 15",-0.2847139037689381
2015-12-10,59.7772,60.7828,59.7138,60.1396,5768745,5768745,0.425816,0.713,60.2994,"Dec 10, 15",-0.27961342750088636
2015-12-11,59.2336,59.8859,58.4182,59.2789,7564406,7564406,-0.86069,-1.431,59.2253,"Dec 11, 15",-0.28992338504882464
2015-12-14,59.4601,59.9584,58.6447,59.904,7371132,7371132,0.625132,1.055,59.3608,"Dec 14, 15",-0.2824355792358628
2015-12-15,59.3061,60.6651,59.1068,60.4748,6061216,6061216,0.570775,0.953,60.054,"Dec 15, 15",-0.27559820992209133
2015-12-16,59.9946,61.4986,59.9221,61.3536,6747572,6747572,0.87881,1.453,60.7731,"Dec 16, 15",-0.26507144020775636
2015-12-17,60.8644,61.1588,58.7806,58.7987,6799955,6799955,-2.5549,-4.164,59.6702,"Dec 17, 15",-0.29567549567333956
2015-12-18,58.5269,59.6775,58.0739,58.989,13490891,13490891,0.190254,0.324,58.9746,"Dec 18, 15",-0.2933959732829914
2015-12-21,59.4239,59.6322,58.3276,59.1068,5311466,5311466,0.11778,0.2,59.0712,"Dec 21, 15",-0.29198489741550315
2015-12-22,60.0218,62.323,59.895,61.9787,9697151,9697151,2.872,4.859,61.4845,"Dec 22, 15",-0.25758363439479454
2015-12-23,63.0478,63.8632,62.4997,63.3196,7586275,7586275,1.3409,2.163,63.2149,"Dec 23, 15",-0.24152156622234144
2015-12-24,63.1928,63.3287,62.5676,62.8576,2322144,2322144,-0.462054,-0.73,62.8552,"Dec 24, 15",-0.2470556668231867
2015-12-28,62.622,62.6764,61.6345,62.1328,3883953,3883953,-0.724792,-1.153,62.1056,"Dec 28, 15",-0.2557377363372399
2015-12-29,62.7126,63.0297,62.169,62.6854,3539541,3539541,0.552652,0.889,62.5605,"Dec 29, 15",-0.24911837704713805
2015-12-30,62.2052,63.084,62.1237,62.2324,3158522,3158522,-0.452994,-0.723,62.5718,"Dec 30, 15",-0.2545446704934214
2015-12-31,62.015,62.6039,61.5529,61.571,4356425,4356425,-0.66137,-1.063,61.8609,"Dec 31, 15",-0.26246729849644956
2016-01-04,60.5926,61.6843,59.5416,61.5982,8586866,8586866,0.027181,0.044,60.6926,"Jan 4, 16",-0.26214148131821796
2016-01-05,61.9516,62.0059,60.1758,60.955,6139106,6139106,-0.643256,-1.044,60.7662,"Jan 5, 16",-0.2698460992975765
2016-01-06,59.7772,60.5654,59.451,59.9946,6639331,6639331,-0.960348,-1.576,60.0164,"Jan 6, 16",-0.28135032054660625
